항공사,편명,공항,상대공항,출발시간,도착시간,운항요일,시작일자,종료일자,기종,비고
OZ,OZ8903,GMP,CJU,06:35,07:40,일,2016-03-27,2016-10-29,A320,
OZ,OZ8904,CJU,GMP,08:10,09:15,일,2016-03-27,2016-10-29,A320,
OZ,OZ8906,CJU,GMP,08:35,09:40,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8907,GMP,CJU,06:45,07:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8908,CJU,GMP,07:50,08:55,목,2016-03-27,2016-10-29,A320,
OZ,OZ8908,CJU,GMP,09:35,10:40,월,2016-03-27,2016-10-29,A320,
OZ,OZ8909,GMP,CJU,07:45,08:50,월,2016-03-27,2016-10-29,A320,
OZ,OZ8909,GMP,CJU,06:10,07:15,목,2016-03-27,2016-10-29,A320,
OZ,OZ8910,CJU,GMP,10:20,11:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8912,CJU,GMP,11:00,12:05,목일,2016-03-27,2016-10-29,A320,
OZ,OZ8913,GMP,CJU,08:35,09:40,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8914,CJU,GMP,12:10,13:15,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8915,GMP,CJU,10:15,11:20,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8916,CJU,GMP,13:15,14:20,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8918,CJU,GMP,13:00,14:05,월,2016-03-27,2016-10-29,A320,
OZ,OZ8919,GMP,CJU,11:10,12:15,월,2016-03-27,2016-10-29,A320,
OZ,OZ8919,GMP,CJU,13:05,14:10,일,2016-03-27,2016-10-29,A320,
OZ,OZ8919,GMP,CJU,09:25,10:30,목,2016-03-27,2016-10-29,A320,
OZ,OZ8920,CJU,GMP,13:45,14:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8921,GMP,CJU,12:00,13:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8922,CJU,GMP,14:15,15:20,목,2016-03-27,2016-10-29,A320,
OZ,OZ8923,GMP,CJU,20:40,21:45,수토일,2016-03-27,2016-08-31,A320,
OZ,OZ8923,GMP,CJU,20:20,21:25,월화수목금토일,2016-09-01,2016-10-29,A320,
OZ,OZ8923,GMP,CJU,20:20,21:25,월화목금,2016-03-27,2016-08-31,A320,
OZ,OZ8924,CJU,GMP,17:00,18:05,월화수목금토일,2016-03-27,2016-04-23,A333,
OZ,OZ8924,CJU,GMP,17:35,18:40,월화수목금토일,2016-04-24,2016-10-29,A333,
OZ,OZ8925,GMP,CJU,12:35,13:40,목,2016-03-27,2016-10-29,A320,
OZ,OZ8926,CJU,GMP,14:20,15:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8927,GMP,CJU,12:45,13:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8928,CJU,GMP,07:15,08:20,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8929,GMP,CJU,12:40,13:45,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8930,CJU,GMP,15:40,16:45,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8931,GMP,CJU,13:55,15:00,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8933,GMP,CJU,14:00,15:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8934,CJU,GMP,17:05,18:10,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8935,GMP,CJU,14:45,15:50,월,2016-03-27,2016-10-29,A320,
OZ,OZ8936,CJU,GMP,18:00,19:05,목,2016-03-27,2016-05-28,A320,
OZ,OZ8937,GMP,CJU,18:15,19:20,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8938,CJU,GMP,15:45,16:50,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8939,GMP,CJU,15:25,16:30,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8940,CJU,GMP,17:40,18:45,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8941,GMP,CJU,15:55,17:00,목,2016-03-27,2016-10-29,A320,
OZ,OZ8942,CJU,GMP,18:55,20:00,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8943,GMP,CJU,15:05,16:10,월화수목금토일,2016-03-27,2016-04-23,A333,
OZ,OZ8943,GMP,CJU,15:40,16:45,월화수목금토일,2016-04-24,2016-10-29,A333,
OZ,OZ8944,CJU,GMP,16:55,18:00,수,2016-03-27,2016-10-29,A320,
OZ,OZ8944,CJU,GMP,15:10,16:15,일,2016-03-27,2016-10-29,A320,
OZ,OZ8944,CJU,GMP,16:25,17:30,월금,2016-03-27,2016-10-29,A320,
OZ,OZ8945,GMP,CJU,16:00,17:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8946,CJU,GMP,20:30,21:35,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8947,GMP,CJU,18:00,19:05,금,2016-03-27,2016-10-29,A320,
OZ,OZ8947,GMP,CJU,18:30,19:30,수,2016-03-27,2016-10-29,A320,
OZ,OZ8947,GMP,CJU,16:45,17:50,일,2016-03-27,2016-10-29,A320,
OZ,OZ8948,CJU,GMP,20:00,21:05,수,2016-03-27,2016-10-29,A320,
OZ,OZ8948,CJU,GMP,21:10,22:15,일,2016-03-27,2016-10-29,A320,
OZ,OZ8949,GMP,CJU,18:05,19:10,월,2016-03-27,2016-10-29,A320,
OZ,OZ8950,CJU,GMP,21:05,22:10,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8951,GMP,CJU,18:45,19:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8952,CJU,GMP,21:00,22:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8953,GMP,CJU,19:40,20:45,목,2016-03-27,2016-05-28,A320,
OZ,OZ8955,GMP,CJU,19:25,20:30,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8957,GMP,CJU,19:20,20:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8959,GMP,CJU,20:35,21:40,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8961,GMP,CJU,08:10,09:15,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8962,CJU,GMP,10:05,11:10,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8963,GMP,CJU,11:50,12:55,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8964,CJU,GMP,13:35,14:40,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8965,GMP,CJU,15:30,16:35,월화수목금토일,2016-03-27,2016-04-23,B763,
OZ,OZ8965,GMP,CJU,15:20,16:25,월화수목금토일,2016-04-24,2016-10-29,B763,
OZ,OZ8966,CJU,GMP,17:35,18:40,월화수목금토일,2016-03-27,2016-04-23,B763,
OZ,OZ8966,CJU,GMP,17:00,18:05,월화수목금토일,2016-04-24,2016-10-29,B763,
OZ,OZ8967,GMP,CJU,19:30,20:35,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8968,CJU,GMP,21:15,22:20,월화수목금토일,2016-03-27,2016-10-29,B763,
OZ,OZ8980,CJU,GMP,18:45,19:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8981,GMP,CJU,06:20,07:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8982,CJU,GMP,08:00,09:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8983,GMP,CJU,09:55,11:00,금,2016-03-27,2016-10-29,A321,
OZ,OZ8983,GMP,CJU,10:00,11:05,월화수목토일,2016-03-27,2016-10-29,A321,
OZ,OZ8984,CJU,GMP,11:40,12:45,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8985,GMP,CJU,13:20,14:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8986,CJU,GMP,15:00,16:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8987,GMP,CJU,17:00,18:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8988,CJU,ICN,21:05,22:10,화수목토일,2016-03-27,2016-10-29,A321,
OZ,OZ8989,ICN,CJU,19:10,20:20,화수목토일,2016-03-27,2016-10-29,A321,
OZ,OZ8991,GMP,CJU,12:20,13:25,월화수목금토일,2016-04-24,2016-10-29,A321,
OZ,OZ8992,CJU,GMP,14:00,15:05,월화수목금토일,2016-04-24,2016-10-29,A321,
BX,BX8010,CJU,GMP,16:30,17:35,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8011,GMP,CJU,07:00,08:05,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8012,CJU,GMP,19:20,20:30,월화금,2016-03-27,2016-10-29,A321,
BX,BX8013,GMP,CJU,07:20,08:30,월화수목토일,2016-03-27,2016-10-29,A321,
BX,BX8014,CJU,GMP,21:20,22:30,수토일,2016-03-27,2016-10-29,A321,
BX,BX8015,GMP,CJU,18:10,19:15,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8020,CJU,GMP,16:45,17:50,화금,2016-03-27,2016-10-29,A321,
BX,BX8021,GMP,CJU,14:45,15:55,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8022,CJU,GMP,20:20,21:25,화금,2016-03-27,2016-10-29,A321,
BX,BX8023,GMP,CJU,18:25,19:30,화금,2016-03-27,2016-10-29,A321,
BX,BX8024,CJU,GMP,19:50,21:00,월목,2016-03-27,2016-10-29,A321,
BX,BX8025,GMP,CJU,08:50,10:00,화금,2016-03-27,2016-10-29,A321,
BX,BX8026,CJU,GMP,09:40,10:50,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8027,GMP,CJU,07:50,08:55,수토,2016-03-27,2016-10-29,A321,
BX,BX8028,CJU,GMP,13:05,14:10,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8029,GMP,CJU,11:25,12:30,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8100,CJU,PUS,08:05,09:00,금,2016-03-27,2016-10-29,A321,
BX,BX8100,CJU,PUS,08:25,09:25,월화수목토일,2016-03-27,2016-10-29,A321,
BX,BX8101,PUS,CJU,07:00,07:55,월화수목토일,2016-03-27,2016-10-29,A321,
BX,BX8101,PUS,CJU,06:40,07:35,금,2016-03-27,2016-10-29,A321,
BX,BX8102,CJU,PUS,09:15,10:10,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8103,PUS,CJU,07:45,08:40,금,2016-03-27,2016-10-29,A321,
BX,BX8104,CJU,PUS,10:35,11:35,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8105,PUS,CJU,09:00,10:00,월수목토일,2016-03-27,2016-10-29,A321,
BX,BX8106,CJU,PUS,09:10,10:05,월화목금토일,2016-03-27,2016-10-29,A321,
BX,BX8106,CJU,PUS,09:10,10:00,수,2016-03-27,2016-10-29,A321,
BX,BX8107,PUS,CJU,07:40,08:35,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8108,CJU,PUS,13:30,14:25,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8109,PUS,CJU,12:05,13:00,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8110,CJU,PUS,14:50,15:45,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8111,PUS,CJU,13:25,14:20,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8112,CJU,PUS,16:25,17:25,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8113,PUS,CJU,15:00,15:55,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8115,PUS,CJU,14:55,15:50,월화수목금토일,2016-03-27,2016-10-29,A321,
BX,BX8116,CJU,PUS,18:35,19:30,월수목토일,2016-03-27,2016-10-29,A321,
BX,BX8117,PUS,CJU,17:05,18:00,월수목토일,2016-03-27,2016-10-29,A321,
BX,BX8118,CJU,PUS,19:45,20:45,수토일,2016-03-27,2016-10-29,A321,
BX,BX8118,CJU,PUS,19:45,20:30,화금,2016-03-27,2016-10-29,A321,
BX,BX8130,CJU,PUS,17:55,18:50,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8131,PUS,CJU,19:55,20:50,수토일,2016-03-27,2016-10-29,A321,
BX,BX8132,CJU,PUS,16:35,17:35,월수목토일,2016-03-27,2016-10-29,A321,
BX,BX8133,PUS,CJU,08:05,08:55,화목,2016-03-27,2016-10-29,A321,
BX,BX8133,PUS,CJU,08:00,08:55,월금일,2016-03-27,2016-10-29,A321,
BX,BX8134,CJU,PUS,19:05,20:00,수토,2016-03-27,2016-10-29,A321,
BX,BX8135,PUS,CJU,17:35,18:30,월화수금토,2016-03-27,2016-10-29,A321,
BX,BX8136,CJU,PUS,08:40,09:30,수,2016-03-27,2016-10-29,A320,
BX,BX8136,CJU,PUS,08:40,09:35,월화목금토일,2016-03-27,2016-10-29,A320,
BX,BX8137,PUS,CJU,16:20,17:15,수목토일,2016-05-09,2016-05-31,A321,
BX,BX8137,PUS,CJU,16:20,17:15,월금,2016-05-09,2016-05-31,A320,
BX,BX8137,PUS,CJU,16:20,17:15,월수목금토일,2016-06-01,2016-10-29,A320,
BX,BX8137,PUS,CJU,16:20,17:15,월수목금토일,2016-03-27,2016-05-10,A320,
BX,BX8137,PUS,CJU,16:35,17:25,화,2016-03-27,2016-10-29,A320,
BX,BX8138,CJU,PUS,19:35,20:30,월수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8138,CJU,PUS,19:35,20:35,화,2016-03-27,2016-10-29,A320,
BX,BX8139,PUS,CJU,18:00,18:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8172,CJU,PUS,18:40,19:30,토,2016-04-22,2016-10-29,A320,
BX,BX8172,CJU,PUS,18:40,19:30,월,2016-04-22,2016-06-27,A320,
BX,BX8172,CJU,PUS,18:40,19:30,금,2016-04-22,2016-06-17,A320,
BX,BX8173,PUS,CJU,17:00,18:05,금,2016-04-22,2016-06-17,A320,
BX,BX8173,PUS,CJU,17:00,18:05,월,2016-04-22,2016-06-27,A320,
BX,BX8173,PUS,CJU,17:00,18:05,토,2016-04-22,2016-10-29,A320,
BX,BX8182,CJU,PUS,13:25,14:20,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8183,PUS,CJU,12:00,12:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8800,PUS,GMP,07:00,07:55,월화수목금토,2016-03-27,2016-10-29,A320,
BX,BX8802,PUS,GMP,08:00,08:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8803,GMP,PUS,07:30,08:25,월화수목금토일,2016-04-01,2016-10-29,A320,
BX,BX8804,PUS,GMP,09:00,09:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8805,GMP,PUS,08:30,09:25,월화수목금토,2016-03-27,2016-10-29,A320,
BX,BX8806,PUS,GMP,10:00,10:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8807,GMP,PUS,09:30,10:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8808,PUS,GMP,11:00,11:55,월화수목금토일,2016-04-01,2016-10-29,A320,
BX,BX8809,GMP,PUS,10:30,11:25,월화수목금토일,2016-03-27,2016-10-29,A320,
