노선,항공사,좌석수,성인,유아,여객수,이용율
김포-인천,ESR,189,176,0,176,93.1
인천-김해,KAL,25372,15157,63,15220,59
김해-인천,KAL,25393,14963,65,15028,58.9
제주-인천,AAR,195,150,0,150,76.9
제주-인천,ESR,189,168,0,168,88.9
제주-인천,JJA,756,602,2,604,79.6
제주-인천,JNA,188,161,1,162,85.6
제주-인천,KAL,600,439,3,442,73.2
인천-대구,KAL,4060,2184,17,2201,53.8
대구-인천,KAL,4060,1838,12,1850,45.3
김포-김해,ABL,53082,46443,377,46820,87.5
김포-김해,JJA,18636,17158,102,17260,92.1
김포-김해,JNA,10962,9977,47,10024,91
김포-김해,KAL,39640,34596,270,34866,87.3
김포-김해,TWB,16254,15655,141,15796,96.3
김해-김포,ABL,52992,46385,400,46785,87.5
김해-김포,JJA,18840,16343,113,16456,86.7
김해-김포,JNA,10962,9768,39,9807,89.1
김해-김포,KAL,39646,35229,271,35500,88.9
김해-김포,TWB,16254,15388,135,15523,94.7
김포-제주,AAR,156493,13878,1397,139275,88.1
김포-제주,ABL,52291,48964,315,49279,93.6
김포-제주,ASV,11000,10266,69,10335,93.3
김포-제주,ESR,890919,85707,452,86159,96.3
김포-제주,JJA,106407,100008,647,100655,94
김포-제주,JNA,38041,36250,186,36463,95.3
김포-제주,KAL,116970,106790,963,107753,91.3
김포-제주,TWB,75789,72289,505,72794,95.4
제주-김포,AAR,155977,134996,1269,136265,86.5
제주-김포,ABL,52146,49076,308,49384,94.1
제주-김포,ASV,11000,10181,74,10255,92.6
제주-김포,ESR,88641,84974,440,85414,95.9
제주-김포,JJA,105462,96444,597,97041,91.4
제주-김포,JNA,37664,36212,187,36399,96.1
제주-김포,KAL,116724,106860,809,107669,91.5
제주-김포,TWB,76167,72737,436,73173,95.5
김포-광주,AAR,9744,6447,96,6543,66.2
광주-김포,AAR,9744,6761,82,6843,69.4
김포-여수,AAR,11226,7628,102,7730,67.9
김포-여수,JNA,5481,2937,49,2986,53.6
여수-김포,AAR,11226,6741,87,6828,60
여수-김포,JNA,5481,4103,140,10984,64.9
김포-울산,JNA,5481,4028,87,4115,73.5
김포-울산,KAL,7980,6831,67,6898,85.6
울산-김포,JNA,5481,4387,89,4476,80
울산-김포,KAL,7980,6967,73,7040,87.3
김포-사천,JNA,10584,7453,120,7573,70.4
사천-김포,JNA,10584,7757,111,7868,73.3
김포-포항경주,JNA,4914,2479,50,2529,50.4
포항경주-김포,JNA,4914,2478,52,2530,50.4
제주-김해,ABL,47995,41372,324,41696,86.2
제주-김해,JJA,34587,31102,251,31353,89.9
제주-김해,JNA,26969,25225,171,25396,93.5
제주-김해,KAL,28764,25592,163,25755,89
김해-제주,ABL,47850,42667,351,43018,89.2
김해-제주,JJA,34398,31137,264,31401,90.5
김해-제주,JNA,26969,24611,209,24820,91.3
김해-제주,KAL,28672,25472,179,25651,88.8
제주-대구,AAR,9879,7900,70,7970,80
제주-대구,JJA,10773,9948,80,10028,92.3
제주-대구,JNA,21869,19352,153,19505,88.5
제주-대구,KAL,8174,7337,86,7423,89.8
제주-대구,TWB,33831,30982,165,31147,91.6
대구-제주,AAR,9705,7898,74,7972,81.4
대구-제주,JJA,10773,9869,82,9951,91.6
대구-제주,JNA,21680,19173,145,19318,88.4
대구-제주,KAL,7986,7252,81,7333,90.8
대구-제주,TWB,34020,31196,199,31395,91.7
제주-청주,AAR,14730,11997,104,12101,81.4
제주-청주,EOK,15660,14340,129,14469,91.6
제주-청주,ESR,16065,14948,73,15021,93
제주-청주,JJA,21546,19202,111,19313,89.1
제주-청주,JNA,27536,26382,297,26679,95.8
제주-청주,KAL,20512,17243,211,17454,84.1
제주-청주,TWB,22113,21301,207,21508,96.3
청주-제주,AAR,14570,11700,130,11830,80.3
청주-제주,EOK,15660,14317,120,14437,91.4
청주-제주,ESR,16065,14955,100,15055,93.1
청주-제주,JJA,21546,18904,158,19062,87.7
청주-제주,JNA,27347,25975,269,26244,95
청주-제주,KAL,20184,17713,229,17942,87.8
청주-제주,TWB,22113,20866,210,21076,94.4
제주-광주,AAR,19293,14399,108,14507,74.6
제주-광주,JJA,10773,9725,43,9768,90.3
제주-광주,JNA,10557,9073,65,9138,85.9
제주-광주,KAL,17872,14869,121,14990,83.2
제주-광주,TWB,21357,19474,171,19645,91.2
광주-제주,AAR,19119,14344,130,14474,75
광주-제주,JJA,10773,9859,64,9923,91.5
광주-제주,JNA,10887,9180,75,9255,87
광주-제주,KAL,17544,14132,125,14257,80.6
광주-제주,TWB,21546,20172,153,20325,93.6
제주-여수,AAR,10067,6429,60,6489,63.9
제주-여수,JNA,5481,5089,32,5121,92.8
제주-여수,KAL,4060,2999,29,3028,73.9
여수-제주,AAR,9879,6748,73,6821,68.3
여수-제주,JNA,5481,4746,33,4779,86.6
여수-제주,KAL,3920,2924,32,2956,74.6
제주-울산 ,KAL,4060,3858,58,3916,95
울산-제주,KAL,3920,3571,49,3620,91.1
제주-사천,KAL,2256,1809,28,1837,80.2
사천-제주,KAL,2256,1848,28,1876,81.9
제주-포항경주,JNA,10017,7889,63,7952,78.8
포항경주-제주,JNA,10017,8309,84,8393,82.9
제주-군산,ESR,10773,9494,90,9584,88.1
제주-군산,JNA,5292,4520,55,4575,85.4
군산-제주,ESR,10773,9642,98,9740,89.5
군산-제주,JNA,5292,4704,56,4760,88.9
제주-원주,JNA,8504,6552,79,6631,77
원주-제주,JNA,8504,7336,92,7428,86.3
