노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,19958,15900,85,15985,79.7
김해-인천,KAL,19946,16385,70,16455,82.1
제주-인천,ESR,189,165,2,167,87.3
제주-인천,JJA,567,457,,457,80.6
제주-인천,JNA,189,185,,185,87.9
인천-대구,KAL,4390,1901,14,1915,43.3
대구-인천,KAL,4440,1976,14,1990,44.5
김포-김해,ABL,55986,48187,261,48448,86.1
김포-김해,JJA,14493,12081,47,12128,83.4
김포-김해,JNA,9450,8867,44,8911,93.8
김포-김해,KAL,39813,35255,174,35429,88.6
김해-김포,ABL,61122,51381,285,51666,84.1
김해-김포,JJA,14493,13029,42,13071,89.9
김해-김포,JNA,9639,8583,35,8618,89
김해-김포,KAL,39792,35814,173,35987,90
김포-제주,AAR,158208,147843,1822,149665,93.4
김포-제주,ABL,44972,42976,345,43321,95.6
김포-제주,ASV,9460,7930,65,7995,83.8
김포-제주,ESR,86562,81671,654,82325,94.3
김포-제주,JJA,118314,112820,925,113745,95.4
김포-제주,JNA,45084,43136,414,43550,95.7
김포-제주,KAL,152203,141458,1735,143193,92.9
김포-제주,TWB,78813,74351,741,75092,94.3
제주-김포,AAR,158208,145980,1773,147753,92.3
제주-김포,ABL,39681,38279,312,38591,96.5
제주-김포,ASV,9460,8595,97,8692,90.9
제주-김포,ESR,86373,84215,648,84863,97.5
제주-김포,JJA,117558,111990,871,112861,95.3
제주-김포,JNA,45084,43929,378,44307,97.4
제주-김포,KAL,152670,145001,1699,146700,95
제주-김포,TWB,78813,75769,770,76539,96.1
김포-광주,AAR,10440,6194,51,6245,59.3
광주-김포,AAR,10440,6382,67,6449,61.1
김포-여수,AAR,10425,6777,60,6837,65
김포-여수,JNA,5292,3221,23,3244,60.9
여수-김포,AAR,10425,6681,42,6723,64.1
여수-김포,JNA,5670,4168,38,4206,73.5
김포-울산,JNA,5670,4531,64,4595,79.9
김포-울산,KAL,8260,7244,36,7280,87.7
울산-김포,JNA,5670,4902,70,4972,86.5
울산-김포,KAL,8260,7312,44,7356,88.5
김포-사천,JNA,11340,7703,72,7775,67.9
사천-김포,JNA,11340,7886,73,7959,69.5
김포-포항경주,JNA,5292,2214,29,2243,41.8
포항경주-김포,JNA,5103,1946,25,1971,38.1
제주-김해,ABL,75108,66671,553,67224,88.8
제주-김해,JJA,36288,34744,327,35071,95.7
제주-김해,JNA,28291,26021,278,26299,92
제주-김해,KAL,29505,27188,213,27401,92.1
김해-제주,ABL,70232,65986,551,66537,94
김해-제주,JJA,36288,35087,309,35396,96.7
김해-제주,JNA,28291,26666,286,26952,94.3
김해-제주,KAL,29538,27841,224,28065,94.3
제주-대구,AAR,10440,7131,64,7195,68.3
제주-대구,JJA,16443,15038,149,15187,91.5
제주-대구,JNA,28280,24681,271,24952,87.3
제주-대구,KAL,11280,9446,126,9572,83.7
제주-대구,TWB,37611,34034,196,34230,90.5
대구-제주,AAR,10440,7326,70,7396,70.2
대구-제주,JJA,16443,14778,77,14855,89.9
대구-제주,JNA,28281,26128,298,26426,92.4
대구-제주,KAL,11280,8923,137,9060,79.1
대구-제주,TWB,37611,33770,235,34005,89.8
제주-청주,AAR,15660,14207,233,14440,90.7
제주-청주,EOK,16200,12566,165,12731,77.6
제주-청주,ESR,22302,20760,202,20962,93.1
제주-청주,JJA,24192,23311,204,23515,96.4
제주-청주,JNA,28293,27658,415,28073,97.8
제주-청주,KAL,16329,14002,243,14245,85.7
제주-청주,TWB,23247,21830,419,22249,93.9
청주-제주,AAR,15660,13702,254,13956,87.5
청주-제주,EOK,16200,12475,170,12645,77
청주-제주,ESR,22491,21139,216,21355,94
청주-제주,JJA,24381,23219,266,23485,95.2
청주-제주,JNA,28292,26944,319,27263,95.2
청주-제주,KAL,16329,15416,313,15729,94.4
청주-제주,TWB,23247,22052,383,22435,94.9
제주-무안,JJA,756,334,4,338,44.2
무안-제주,JJA,567,353,2,355,62.3
제주-광주,AAR,20880,15233,102,15335,73
제주-광주,JJA,11340,10775,72,10847,95
제주-광주,JNA,22461,20791,199,20990,92.6
제주-광주,KAL,18240,14886,187,15073,81.6
제주-광주,TWB,22680,19736,191,19927,87
광주-제주,AAR,20880,16385,169,16554,78.5
광주-제주,JJA,11340,10879,91,10970,95.9
광주-제주,JNA,22461,19054,146,19200,84.8
광주-제주,KAL,18240,14623,191,14814,80.2
광주-제주,TWB,22680,19825,176,20001,87.4
제주-여수,AAR,11063,7496,99,7595,67.8
제주-여수,JNA,5670,5467,73,5540,96.4
제주-여수,KAL,4200,2979,44,3023,70.9
여수-제주,AAR,11063,7633,94,7727,69
여수-제주,JNA,5292,5053,64,5117,95.5
여수-제주,KAL,4200,3056,48,3104,72.8
제주-울산 ,JNA,5670,3983,76,4059,70.2
제주-울산 ,KAL,4200,3730,98,3828,88.8
울산-제주,JNA,5670,5164,109,5273,91.1
울산-제주,KAL,4200,3540,74,3614,84.3
제주-사천,KAL,2256,1856,35,1891,82.3
사천-제주,KAL,2256,1712,37,1749,75.9
제주-포항경주,JNA,10395,7695,108,7803,74
포항경주-제주,JNA,10584,7695,111,7806,72.7
제주-군산,ESR,10962,9815,115,9930,89.5
제주-군산,JNA,5670,4884,70,4954,86.1
군산-제주,ESR,10962,9941,100,10041,90.7
군산-제주,JNA,5670,5110,91,5201,90.1
제주-원주,JNA,11324,9168,153,9321,81
원주-제주,JNA,11324,8995,152,9147,79.4
