노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,26761,18372,67,18439,68.7
김해-인천,KAL,26934,18357,70,18427,68.2
제주-인천,AAR,464,267,1,268,57.5
제주-인천,ESR,753,692,1,693,91.9
제주-인천,JJA,1134,981,2,983,86.5
제주-인천,JNA,754,671,0,671,89
제주-인천,KAL,376,209,1,210,55.6
제주-인천,TWB,378,361,1,362,95.5
인천-대구,KAL,4800,2642,12,2654,55
대구-인천,KAL,4848,2656,14,2670,54.8
김포-김해,ABL,54435,48915,297,49212,89.9
김포-김해,JJA,11643,10378,31,10409,89.1
김포-김해,JNA,10206,9605,37,9642,94.1
김포-김해,KAL,40636,35756,212,35968,88
김포-김해,TWB,11151,10509,57,10566,94.2
김해-김포,ABL,60441,53144,343,53487,87.9
김해-김포,ESR,1131,1023,1,1024,90.5
김해-김포,JJA,11658,10539,28,10567,90.4
김해-김포,JNA,10206,8565,26,8591,83.9
김해-김포,KAL,40636,35784,234,36018,88.1
김해-김포,TWB,11151,10318,81,10399,92.5
김포-제주,AAR,145664,133889,1590,135479,91.9
김포-제주,ABL,45664,42721,291,43012,93.6
김포-제주,ASV,27280,24630,176,24806,90.3
김포-제주,ESR,82863,75760,521,76281,91.4
김포-제주,JJA,117936,111320,712,112032,94.4
김포-제주,JNA,46781,44947,363,45310,96.1
김포-제주,KAL,155728,139158,1516,140674,89.4
김포-제주,TWB,83421,76463,489,76952,91.7
제주-김포,AAR,145200,135356,1532,136888,93.2
제주-김포,ABL,39658,38004,274,38278,95.8
제주-김포,ASV,27280,25683,183,25866,94.1
제주-김포,ESR,80979,78945,611,79556,97.5
제주-김포,JJA,116802,113928,750,114678,97.5
제주-김포,JNA,46215,44731,361,45092,96.8
제주-김포,KAL,154800,147315,1594,148909,95.2
제주-김포,TWB,83610,79956,595,80551,95.6
김포-대구,JNA,189,83,3,86,43.9
김포-광주,AAR,10788,5034,59,5093,46.7
광주-김포,AAR,10788,5473,80,5553,50.7
김포-여수,AAR,10788,6842,87,6929,63.4
김포-여수,JNA,5859,3853,40,3893,65.8
여수-김포,AAR,10788,6970,83,7053,64.6
여수-김포,JNA,5859,4422,62,4484,75.5
김포-울산,JNA,5859,4263,89,4352,72.8
김포-울산,KAL,8680,7075,41,7116,81.5
울산-김포,JNA,5859,4868,87,4955,83.1
울산-김포,KAL,8680,6728,46,6774,77.5
김포-사천,JNA,11717,7784,96,7880,66.4
사천-김포,JNA,11718,8271,100,8371,70.6
김포-포항경주,JNA,5670,2803,41,2844,49.4
포항경주-김포,JNA,5859,2696,50,2746,46
제주-김해,ABL,74126,69461,585,70046,93.7
제주-김해,ESR,1692,1588,8,1596,93.9
제주-김해,JJA,36840,35865,276,36141,97.4
제주-김해,JNA,29422,27832,231,28063,94.6
제주-김해,KAL,32550,29598,274,29872,90.9
김해-제주,ABL,68120,64100,509,64609,94.1
김해-제주,ESR,564,504,1,505,89.4
김해-제주,JJA,36855,35702,280,35982,96.9
김해-제주,JNA,29234,27906,247,28153,95.5
김해-제주,KAL,32598,29861,273,30134,91.6
제주-대구,AAR,10788,9068,66,9134,84.1
제주-대구,JJA,11718,11275,125,11400,96.2
제주-대구,JNA,28826,25898,254,26152,89.8
제주-대구,KAL,11656,10163,124,10287,87.2
제주-대구,TWB,41013,38985,258,39243,95.1
대구-제주,AAR,10788,8522,66,8588,79
대구-제주,JJA,11718,10815,85,10900,92.3
대구-제주,JNA,29202,25422,206,25628,87.1
대구-제주,KAL,11656,9017,116,9133,77.4
대구-제주,TWB,41013,36822,284,37106,89.8
제주-청주,AAR,16182,15631,261,15892,96.6
제주-청주,EOK,16740,16485,155,16640,98.5
제주-청주,ESR,24336,23556,179,23735,96.8
제주-청주,JJA,25137,24114,183,24297,95.9
제주-청주,JNA,29049,28722,332,29054,98.9
제주-청주,KAL,17140,15696,198,15894,91.6
제주-청주,TWB,22869,22253,283,22536,97.3
청주-제주,AAR,16182,14540,219,14759,89.9
청주-제주,EOK,16740,16309,144,16453,97.4
청주-제주,ESR,24336,22544,180,22724,92.6
청주-제주,JJA,25137,23939,231,24170,95.2
청주-제주,JNA,29238,27991,269,28260,95.7
청주-제주,KAL,17140,15694,215,15909,91.6
청주-제주,TWB,22869,21184,252,21436,92.6
제주-무안,JJA,3213,2277,23,2300,70.9
제주-무안,JNA,1701,1623,27,1650,95.4
무안-제주,JJA,3213,2448,30,2478,76.2
무안-제주,JNA,1701,1313,17,1330,77.2
제주-광주,AAR,21576,18810,180,18990,87.2
제주-광주,JJA,11718,11172,72,11244,95.3
제주-광주,JNA,20004,18523,177,18700,92.6
제주-광주,KAL,18096,14324,161,14485,79.2
제주-광주,TWB,23436,22220,194,22414,94.8
광주-제주,AAR,21576,18493,202,18695,85.7
광주-제주,JJA,11718,11069,96,11165,94.5
광주-제주,JNA,20004,16931,83,17014,84.6
광주-제주,KAL,18096,14324,161,14485,79.2
광주-제주,TWB,23436,20962,161,21123,89.4
제주-여수,AAR,10788,8188,85,8273,75.9
제주-여수,JNA,5859,5503,50,5553,93.9
제주-여수,KAL,4340,3385,46,3431,78
여수-제주,AAR,10788,7787,77,7864,72.2
여수-제주,JNA,5859,5313,44,5357,90.7
여수-제주,KAL,4340,3349,49,3398,77.2
제주-울산 ,JNA,5859,4488,68,4556,76.6
제주-울산 ,KAL,4200,3754,62,3816,89.4
울산-제주,JNA,5859,5316,89,5405,90.7
울산-제주,KAL,4200,3232,32,3264,77
제주-사천,KAL,2444,2077,28,2105,85
사천-제주,KAL,2444,1938,35,1973,79.3
제주-포항경주,JNA,11718,9340,98,9438,79.7
포항경주-제주,JNA,11529,8647,87,8734,75
제주-군산,ESR,11652,10318,112,10430,88.6
제주-군산,JNA,5859,5079,57,5136,86.7
군산-제주,ESR,11652,9802,92,9894,84.1
군산-제주,JNA,5859,5272,55,5327,90
제주-원주,JNA,11718,9971,125,10096,85.1
원주-제주,JNA,11718,9536,122,9658,81.4
