노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,27017,15387,66,15453,57
김해-인천,KAL,26910,15152,61,15213,56.3
제주-인천,AAR,1282,883,6,889,68.9
제주-인천,ABL,195,62,1,63,31.8
제주-인천,ASV,220,202,2,204,91.8
제주-인천,ESR,189,169,0,169,89.4
제주-인천,JJA,1701,1553,11,1564,91.3
제주-인천,TWB,378,363,0,363,96
인천-대구,KAL,4384,2210,8,2218,50.4
대구-인천,KAL,4336,1948,9,1957,44.9
포항경주-인천,,189,74,0,74,39.2
김포-김해,ABL,57172,50318,266,50584,88
김포-김해,JJA,19770,17499,63,17562,88.5
김포-김해,JNA,11529,9488,36,9524,82.3
김포-김해,KAL,39992,35124,157,35281,87.8
김포-김해,TWB,1701,1617,8,1625,95.1
김해-김포,ABL,57128,50129,264,50393,87.7
김해-김포,JJA,19770,17648,55,17703,89.3
김해-김포,JNA,11718,10460,42,10502,89.3
김해-김포,KAL,39664,35243,163,35406,88.9
김해-김포,TWB,1701,1570,17,1587,92.3
김포-제주,AAR,162051,140841,1539,142380,86.9
김포-제주,ABL,58114,54472,457,54929,93.7
김포-제주,ASV,26180,22760,189,22949,86.9
김포-제주,ESR,83538,77517,463,77980,92.8
김포-제주,JJA,116802,109875,874,110749,94.1
김포-제주,JNA,41056,39116,274,39390,95.3
김포-제주,KAL,122242,107669,1038,108707,88.1
김포-제주,TWB,81648,74610,525,75135,91.4
제주-김포,AAR,160363,138430,1472,139902,86.3
제주-김포,ABL,57938,54500,477,54977,94.1
제주-김포,ASV,25740,22154,175,22329,86.1
제주-김포,ESR,83160,78107,496,78603,93.9
제주-김포,JJA,115101,103883,815,104698,90.3
제주-김포,JNA,41056,39451,309,39760,96.1
제주-김포,KAL,122150,111338,1025,112363,91.1
제주-김포,TWB,81081,74715,585,75300,92.1
김포-광주,AAR,10788,6350,21,6401,58.9
광주-김포,AAR,10788,6602,67,6669,61.2
김포-여수,AAR,11985,7328,49,7377,61.1
김포-여수,JNA,5859,2822,15,2837,48.2
여수-김포,AAR,11790,6435,41,6476,54.6
여수-김포,JNA,5859,4123,29,4152,70.4
김포-울산,JNA,5670,4198,40,4238,74
김포-울산,KAL,8540,7288,47,7335,85.3
울산-김포,JNA,5670,4543,49,4592,80.1
울산-김포,KAL,8540,7239,48,7287,84.8
김포-사천,JNA,11718,7496,50,7546,64
사천-김포,JNA,11718,7580,62,7642,64.7
김포-포항경주,JNA,5859,2200,25,2225,37.5
포항경주-김포,JNA,5670,2086,19,2105,36.8
제주-김해,ABL,52029,44199,339,44538,85
제주-김해,JJA,40446,34701,301,35002,85.8
제주-김해,JNA,28853,26026,240,26266,90.2
제주-김해,KAL,30508,25232,204,25436,82.7
김해-제주,ABL,51853,43469,332,43801,83.8
김해-제주,JJA,40257,34573,276,34849,85.9
김해-제주,JNA,28853,26273,280,26553,91.1
