,Open,High,Low,Close,Volume,Adj Close,rtn,MA
2021-12-31,178.08999633789062,179.22999572753906,177.25999450683594,177.57000732421875,64062300.0,174.5162811279297,,
2022-01-31,170.20149993896484,172.44799880981446,167.6395004272461,169.86149978637695,105422300.0,166.9403388977051,-0.04341108982310904,173.71575355529785
2022-02-28,169.63526193719161,171.5852629009046,167.58052384225945,169.83000102796052,85658752.63157895,167.08754208213404,-0.00018543789178859793,169.84575040716874
2022-03-31,164.8069557521654,167.16434843643853,162.93913070015284,165.31043541949728,94817395.6521739,162.67452936587125,-0.026612292181044883,167.5702182237289
2022-04-29,167.4790008544922,169.51850051879882,165.08300170898437,166.8209991455078,84389780.0,164.16100997924804,0.009137739684595747,166.06571728250253
2022-05-31,148.32428559802827,150.9509524390811,145.3642839704241,148.43047659737724,114335252.38095239,146.23425365629652,-0.11024105263924022,157.62573787144254
2022-06-30,139.94571431477866,141.9190470377604,138.1114298502604,139.79857308523995,83290466.66666667,137.77159191313245,-0.05815452264262155,144.1145248413086
2022-07-29,148.4364990234375,150.7659996032715,147.14150009155273,149.670499420166,72356270.0,147.5003776550293,0.0706153583478053,144.73453625270298
2022-08-31,166.95652240255603,168.5895657746688,165.53391299040422,166.88521808126697,65662591.30434783,164.65505450704822,0.11501744650944556,158.2778587507165
2022-09-30,153.28428577241442,155.30857267833892,150.89333307175409,153.0028555733817,99272514.28571428,150.99386596679688,-0.08318509372786431,159.94403682732434
2022-10-31,144.105715797061,146.80047752743675,142.48047601609002,145.01333327520462,88959033.33333333,143.1092485700335,-0.05221812539534754,149.00809442429318
2022-11-30,146.05714271182106,148.03285507928757,143.50809442429315,145.84333147321428,82135604.76190476,144.13322957356772,0.00572359919783727,145.42833237420945
2022-12-30,138.735715956915,140.16666666666666,136.27714356921967,137.87666647774833,79796723.8095238,136.29200453985305,-0.05462481496405691,141.8599989754813
2023-01-31,135.12600021362306,137.2714984893799,133.73700065612792,135.77899932861328,72182625.0,134.21844558715821,-0.015214083736740047,136.82783290318082
2023-02-28,150.22631595009253,152.2968420731394,149.01158061780427,150.9684207313939,68799942.10526316,149.37694991262336,0.11186870928411463,143.3737100300036
2023-03-31,154.455218107804,156.36304440705672,153.2413038170856,154.96478205141813,66098547.82608695,153.41761050016984,0.02647150510459828,152.96660139140602
2023-04-28,164.43736989874589,165.92579008403578,163.55263157894737,165.04579001978823,51037352.631578945,163.39796046206826,0.06505354206883718,160.00528603560318
2023-05-31,172.5104557384144,173.7527278553356,171.44454539905894,172.62272782759234,57961613.63636363,171.0399364124645,0.045908095001367055,168.8342589236903
2023-06-30,183.67904808407738,185.43809509277344,182.61571393694197,184.28333318801154,61766719.047619045,182.69579278855096,0.06754965297539073,178.45303050780194
2023-07-31,192.50650024414062,193.92700119018554,191.21949920654296,192.4115005493164,49803320.0,190.75394134521486,0.04410690441013587,188.34741686866397
2023-08-31,181.4152188508407,182.77173780358356,179.6760884160581,181.0839133884596,57497365.217391305,179.68043849779212,-0.05887167413859162,186.747706968888
2023-09-29,177.58649978637695,178.99650192260742,175.582999420166,177.00250091552735,66879330.0,175.7146438598633,-0.022538790975744072,179.04320715199347
2023-10-31,174.0263637195934,175.9072730324485,172.84817990389737,174.66863805597478,53305436.36363637,173.39775987104937,-0.013185479569389646,175.83556948575108
2023-11-30,185.28047761462983,186.72571454729353,184.36714390345983,185.87952314104353,52361242.85714286,184.69205293201264,0.06418373217907658,180.27408059850916
2023-12-29,194.20999984741212,195.30949935913085,192.88899917602538,194.30850143432616,53138740.0,193.14885559082032,0.04534645963604511,190.09401228768485
2024-01-31,187.5971425374349,188.9990474155971,186.09952363513764,187.72428385416666,56534252.38095238,186.6039319719587,-0.03388538088429904,191.01639264424642
2024-02-29,184.6680000305176,186.0430000305176,183.03100051879883,184.77550048828124,58081350.0,183.8356201171875,-0.015708054948160965,186.24989217122396
2024-03-29,172.78899993896485,174.31949996948242,171.2624984741211,172.69649963378907,71639140.0,171.88488693237304,-0.06537122520340966,178.73600006103516
2024-04-30,169.6613630814986,171.29227170077237,168.44818323308772,169.6045448996804,56623500.0,168.8074625188654,-0.01790398033929641,171.15052226673475
2024-05-31,186.43181748823687,187.8209096735174,185.0559088967063,186.2859087857333,60751713.63636363,185.58477783203125,0.09835446270570047,177.94522684270686
2024-06-28,205.99473491467927,209.03631752415708,203.92000057822779,206.26315789473685,90736026.31578948,205.5722447445518,0.10723972220562006,196.27453334023508
2024-07-31,224.5977256081321,226.67091092196378,222.02999877929688,224.59863697398794,52413627.27272727,223.8463044600053,0.08889362146102853,215.4308974343624
2024-08-30,220.75545501708984,223.71863625266334,218.74090853604403,221.63818151300603,51030318.18181818,221.0731062455611,-0.013181092729982913,223.11840924349698
2024-09-30,223.729500579834,225.58899993896483,221.4565002441406,223.75800094604492,61607015.0,223.26661376953126,0.009564324244893285,222.69809122952546
2024-10-31,230.1560867972996,231.6582608430282,228.08913189431897,230.0560873280401,40466782.60869565,229.55087213930875,0.028146865610914285,226.9070441370425
2024-11-29,226.72250061035157,229.07300033569337,225.62600173950196,227.81049880981445,44582030.0,227.49890365600587,-0.009761048030968333,228.93329306892727
2024-12-31,248.33142961774553,250.81142897832962,246.87380836123512,249.32285635811942,46567433.333333336,249.04903157552084,0.09443093123756507,238.56667758396694
2025-01-31,235.10299911499024,237.5729995727539,231.83850021362304,234.58699951171874,60014585.0,234.32935943603516,-0.05910351365955224,241.95492793491908
2025-02-28,234.65692373422476,238.00538400503305,233.08999868539664,236.3515378511869,43636615.384615384,236.25403536283054,0.007521893127671042,235.46926868145283
